boxID,line,page,x,y,w,h
0,1,2,474,1003,2548,243
1,2,2,314,1295,2715,245
2,3,2,314,1585,2718,244
3,4,2,317,1873,2716,245
4,5,2,320,2162,2714,246
5,6,2,324,2442,2718,253
6,7,2,329,2740,2713,246
7,8,2,328,3031,2718,252
8,1,2,474,1003,1202.25,243
154,1,2,1676.25,1003,1345.75,243
9,2,2,314,1295,2715,245
10,3,2,314,1585,2718,244
11,4,2,317,1873,2716,245
12,5,2,320,2162,2714,246
13,6,2,324,2442,2718,253
14,7,2,329,2740,2713,246
15,8,2,328,3031,2718,252
16,9,2,333,3325,2718,249
17,10,2,343,3617,2711,256
18,1,3,267,367,2701,223
19,2,3,266,631,2705,222
20,3,3,265,878,2712,223
21,4,3,267,1129,2710,222
22,5,3,267,1377,2710,220
23,6,3,268,1625,2710,218
24,7,3,264,1896,2712,221
25,8,3,264,2163,2712,222
26,9,3,266,2429,2708,224
27,10,3,266,2700,1899,220
28,1,4,258,2729,1027,213
29,2,4,255,2990,2717,230
30,3,4,254,3260,2721,230
31,4,4,257,3533,2719,227
32,1,5,210,372,2704,248
33,2,5,205,658,2711,227
34,3,5,207,922,2709,227
35,4,5,209,1187,2708,225
36,5,5,212,1451,2708,222
37,6,5,212,1711,2706,224
38,7,5,211,1974,2706,225
39,8,5,215,2236,2703,224
40,9,5,217,2497,2701,224
41,10,5,216,2758,2706,223
42,11,5,216,3022,2707,224
43,12,5,213,3287,2713,221
44,13,5,215,3552,2712,221
45,1,6,424,417,2564,246
46,2,6,262,697,2729,217
47,3,6,266,926,2725,216
48,4,6,266,1171,2723,218
49,5,6,266,1416,2721,216
50,6,6,264,1654,2722,251
51,7,6,263,1939,2722,217
52,8,6,265,2160,2720,217
53,9,6,267,2394,2721,217
54,10,6,266,2628,2720,217
55,11,6,264,2864,2722,230
56,12,6,264,3100,2722,251
57,13,6,262,3334,2723,221
58,14,6,263,3574,2720,218
59,1,7,234,371,2695,249
60,2,7,231,616,2701,223
61,3,7,230,869,2702,221
62,4,7,230,1112,2701,264
63,5,7,230,1353,2702,238
64,6,7,233,1596,2702,245
65,7,7,236,1860,2697,218
66,8,7,234,2100,2699,218
67,9,7,236,2343,2699,218
68,10,7,234,2584,2703,218
69,11,7,233,2809,2705,216
70,12,7,235,3068,2706,217
71,13,7,229,3313,2712,217
72,14,7,231,3557,2712,218
73,1,8,472,431,2581,220
74,2,8,337,691,2717,219
75,3,8,338,955,2718,218
76,4,8,337,1229,2716,217
77,5,8,334,1503,2717,218
78,6,8,336,1755,2710,217
79,7,8,333,2004,2712,216
80,8,8,331,2279,2714,216
81,9,8,336,2528,2710,219
82,10,8,335,2780,2712,232
83,11,8,337,3031,2715,219
84,12,8,335,3280,2715,223
85,13,8,334,3548,2718,242
86,1,9,287,347,2706,260
87,2,9,279,619,2709,247
88,3,9,278,914,2708,247
89,4,9,273,1171,2711,247
90,5,9,276,1392,2707,257
91,6,9,271,1652,2710,255
92,7,9,273,1922,2704,259
93,8,9,271,2225,2704,219
94,9,9,267,2485,2704,223
95,10,9,267,2750,2705,223
96,11,9,267,3013,2703,225
97,12,9,266,3280,2704,223
98,13,9,264,3546,2703,223
99,1,10,375,346,2715,226
100,2,10,379,595,2710,227
101,3,10,381,844,2706,245
102,4,10,380,1062,2707,257
103,5,10,380,1370,2708,223
104,6,10,382,1679,2704,223
105,7,10,379,1943,2706,225
106,8,10,384,2232,2700,225
107,9,10,384,2484,2705,223
108,10,10,384,2733,2705,228
109,11,10,385,3011,2705,228
110,12,10,386,3286,2705,230
111,13,10,390,3562,2702,229
112,1,11,180,377,2713,223
113,2,11,181,660,2705,228
114,3,11,175,917,2708,275
115,4,11,172,1181,2704,241
116,5,11,167,1447,2711,226
117,6,11,165,1685,2711,228
118,7,11,162,1926,2709,224
119,8,11,154,2193,2710,226
120,9,11,152,2460,2711,228
121,10,11,152,2704,2705,230
122,11,11,150,2947,2708,230
123,12,11,148,3193,2703,228
124,13,11,145,3413,2704,227
125,14,11,144,3630,2710,229
126,1,12,289,410,2715,228
127,2,12,292,702,2714,228
128,3,12,293,936,2713,228
129,4,12,296,1171,2711,231
130,5,12,298,1419,2711,228
131,6,12,301,1682,2706,231
132,7,12,300,1947,2708,226
133,8,12,303,2171,2705,232
134,9,12,304,2409,2706,237
135,10,12,309,2640,2707,235
136,11,12,310,2868,2710,235
137,12,12,311,3117,2711,238
138,13,12,314,3395,2711,234
139,14,12,315,3653,2710,230
140,1,13,176,404,2706,220
141,2,13,175,678,2708,218
142,3,13,173,924,2710,216
143,4,13,169,1167,2714,217
144,5,13,170,1431,2712,216
145,6,13,170,1679,2713,217
146,7,13,171,1904,2711,217
147,8,13,169,2153,2712,215
148,9,13,170,2400,2712,215
149,10,13,166,2618,2714,217
150,11,13,169,2884,2713,216
151,12,13,172,3151,2713,216
152,13,13,167,3402,2717,217
153,14,13,164,3650,2720,218
