boxID,line,page,x,y,w,h
0,1,1,475,1043,2524.25,206.5
1,2,1,315,1335,2694.75,234.75
2,3,1,314,1625,2711.5,202
3,4,1,300.75,1821.75,2714.25,304.5
4,5,1,306,2094.75,2719.5,372.75
5,6,1,324,2488,2716,166
6,7,1,329,2780,2712,165
7,8,1,328,3071,2717,171
8,9,1,333,3365,2717,168
9,10,1,372,3657,2681,170
0,1,1,475,1043,2524.25,206.5
1,2,1,315,1335,2694.75,234.75
2,3,1,314,1625,2711.5,202
3,4,1,300.75,1821.75,2714.25,304.5
4,5,1,306,2094.75,2719.5,372.75
5,6,1,324,2488,2716,166
6,7,1,329,2780,2712,165
7,8,1,328,3071,2717,171
8,9,1,333,3365,2717,168
9,10,1,372,3657,2681,170
10,1,2,268,407,2699,142
11,2,2,266,671,2704,141
12,3,2,265,918,2711,142
13,4,2,267,1169,2709,141
14,5,2,267,1417,2709,139
15,6,2,268,1665,2709,136
16,7,2,264,1936,2711,139
17,8,2,264,2203,2711,141
18,9,2,266,2469,2707,143
19,10,2,266,2740,1898,139
20,1,3,258,2769,1026,132
21,2,3,255,3030,2716,149
22,3,3,254,3300,2720,149
23,4,3,257,3573,2718,145
24,1,4,212,432,2701,147
25,2,4,205,698,2710,146
26,3,4,207,962,2708,146
27,4,4,209,1227,2707,144
28,5,4,212,1491,2707,141
29,6,4,212,1751,2705,143
30,7,4,212,2014,2704,144
31,8,4,215,2276,2702,143
32,9,4,217,2537,2700,143
33,10,4,216,2798,2705,142
34,11,4,216,3062,2706,142
35,12,4,213,3327,2712,140
36,13,4,215,3592,2712,140
37,1,5,425,457,2562,165
38,2,5,262,737,2728,136
39,3,5,266,966,2724,135
40,4,5,266,1211,2722,137
41,5,5,266,1456,2720,135
42,6,5,264,1694,2721,170
43,7,5,263,1979,2721,136
44,8,5,266,2200,2718,136
45,9,5,267,2434,2720,136
46,10,5,266,2668,2719,135
47,11,5,264,2904,2721,137
48,12,5,264,3140,2720,170
49,13,5,262,3374,2722,140
50,14,5,263,3614,2719,137
51,1,6,234,411,2694,148
52,2,6,231,656,2700,142
53,3,6,230,909,2701,140
54,4,6,230,1152,2700,183
55,5,6,230,1393,2701,157
56,6,6,233,1636,2701,164
57,7,6,236,1900,2696,137
58,8,6,234,2140,2698,136
59,9,6,236,2383,2698,137
60,10,6,234,2624,2702,137
61,11,6,233,2849,2704,135
62,12,6,235,3108,2704,136
63,13,6,229,3353,2711,136
64,14,6,231,3598,2711,136
65,1,7,472,471,2580,139
66,2,7,337,731,2716,138
67,3,7,338,995,2717,137
68,4,7,337,1269,2715,136
69,5,7,334,1543,2716,137
70,6,7,336,1795,2709,136
71,7,7,333,2044,2711,135
72,8,7,331,2319,2713,134
73,9,7,336,2568,2709,138
74,10,7,335,2820,2711,137
75,11,7,337,3071,2714,138
76,12,7,335,3320,2714,142
77,13,7,334,3588,2717,161
78,1,8,322,387,2670,179
79,2,8,281,659,2706,166
80,3,8,278,954,2707,166
81,4,8,273,1211,2710,166
82,5,8,276,1432,2706,176
83,6,8,271,1692,2709,174
84,7,8,273,1962,2703,178
85,8,8,271,2265,2702,138
86,9,8,267,2525,2703,142
87,10,8,267,2790,2704,142
88,11,8,267,3053,2702,144
89,12,8,266,3321,2702,141
90,13,8,264,3586,2701,142
91,1,9,375,386,2714,145
92,2,9,379,635,2709,146
93,3,9,381,884,2705,144
94,4,9,380,1134,2706,144
95,5,9,380,1410,2707,142
96,6,9,382,1719,2703,142
97,7,9,379,1983,2705,143
98,8,9,384,2272,2699,144
99,9,9,384,2524,2703,142
100,10,9,384,2773,2703,147
101,11,9,385,3051,2703,147
102,12,9,386,3326,2704,149
103,13,9,390,3602,2701,148
104,1,10,184,417,2708,142
105,2,10,181,700,2704,147
106,3,10,176,957,2706,148
107,4,10,172,1221,2703,143
108,5,10,167,1487,2710,145
109,6,10,166,1725,2709,147
110,7,10,162,1966,2708,143
111,8,10,157,2233,2706,145
112,9,10,152,2500,2709,147
113,10,10,152,2744,2704,149
114,11,10,150,2987,2707,149
115,12,10,148,3233,2702,147
116,13,10,145,3453,2702,145
117,14,10,144,3670,2709,148
118,1,11,289,450,2714,147
119,2,11,292,742,2713,145
120,3,11,293,976,2712,147
121,4,11,296,1211,2710,150
122,5,11,298,1459,2710,147
123,6,11,301,1722,2705,150
124,7,11,300,1987,2707,145
125,8,11,303,2211,2704,151
126,9,11,304,2449,2705,156
127,10,11,309,2680,2705,154
128,11,11,310,2908,2709,154
129,12,11,311,3157,2710,157
130,13,11,314,3435,2710,153
131,14,11,315,3693,2709,149
132,1,12,176,444,2705,139
133,2,12,175,718,2707,137
134,3,12,173,964,2709,135
135,4,12,169,1207,2713,136
136,5,12,170,1471,2711,135
137,6,12,170,1719,2712,136
138,7,12,171,1944,2710,136
139,8,12,169,2193,2711,134
140,9,12,170,2440,2710,134
141,10,12,166,2658,2713,136
142,11,12,169,2925,2712,134
143,12,12,172,3191,2712,135
144,13,12,167,3442,2716,136
145,14,12,165,3690,2718,137
