boxID,line,page,x,y,w,h
0,1,0,280,523,2410,131
1,2,0,197,770,2494,130
2,3,0,197,1019,2494,131
3,4,0,197,1264,2495,135
4,5,0,199,1515,2494,132
5,6,0,199,1785,2493,130
6,7,0,201,2055,2492,129
7,8,0,202,2300,2494,135
8,9,0,204,2549,2493,138
9,10,0,203,2798,2494,138
10,11,0,204,3049,2493,135
11,12,0,205,3298,2494,135
12,1,1,330,311,2493,134
13,2,1,331,557,2493,138
14,3,1,333,806,2491,146
15,4,1,332,1076,2492,136
16,5,1,332,1345,2492,136
17,6,1,333,1614,2493,136
18,7,1,332,1883,2495,136
19,8,1,334,2148,2495,142
20,9,1,335,2442,2497,143
21,10,1,337,2716,2494,137
22,11,1,339,3025,2492,140
23,12,1,339,3296,2494,138
24,1,2,204,287,2493,133
25,2,2,203,514,2491,136
26,3,2,202,763,2492,134
27,4,2,206,1032,2490,133
28,5,2,203,1259,2494,137
29,6,2,208,1521,2489,143
30,7,2,208,1776,2489,136
31,8,2,209,2067,2489,134
32,9,2,209,2314,2491,140
33,10,2,212,2566,2489,141
34,11,2,211,2816,2491,138
35,12,2,213,3065,2490,138
36,13,2,215,3293,2490,138
37,1,3,329,309,2491,140
38,2,3,331,596,2490,145
39,3,3,331,885,2492,146
40,4,3,333,1196,2491,145
41,5,3,337,1485,2491,146
42,6,3,337,1775,2491,145
43,7,3,338,2068,2492,140
44,8,3,341,2333,2496,150
45,9,3,343,2606,2496,151
46,10,3,428,3022,2410,147
47,11,3,347,3291,2494,149
48,1,4,242,318,2490,133
49,2,4,240,607,2491,138
50,3,4,240,889,2489,161
51,4,4,238,1186,2491,154
52,5,4,238,1480,2491,151
53,6,4,235,1749,2494,170
54,7,4,237,2100,2493,126
55,8,4,237,2390,2493,133
56,9,4,234,2685,2494,132
57,10,4,234,2995,2493,130
58,11,4,233,3285,2494,131
59,1,5,293,325,2493,126
60,2,5,294,593,2492,129
61,3,5,293,820,2492,128
62,4,5,294,1047,2491,129
63,5,5,293,1276,2492,128
64,6,5,374,1649,2410,128
65,7,5,290,1897,2493,129
66,8,5,289,2123,2493,130
67,9,5,293,2337,2495,176
68,10,5,290,2567,2497,177
69,11,5,288,2833,2498,163
70,12,5,289,3083,2496,127
71,13,5,290,3330,2496,131
72,1,6,250,316,2491,134
73,2,6,250,563,2491,137
74,3,6,246,811,2494,135
75,4,6,245,1060,2493,134
76,5,6,245,1309,2492,133
77,6,6,243,1538,2493,133
78,7,6,240,1764,2494,136
79,8,6,241,2011,2492,138
80,9,6,239,2262,2495,134
81,10,6,236,2536,2497,133
82,11,6,235,2806,2495,130
83,12,6,235,3033,2494,135
84,13,6,234,3303,2494,132
85,1,7,274,312,2490,127
86,2,7,274,581,2491,128
87,3,7,274,829,2491,129
88,4,7,274,1078,2491,126
89,5,7,274,1346,2492,130
90,6,7,274,1615,2489,128
91,7,7,273,1905,2492,137
92,8,7,276,2171,2493,141
93,9,7,274,2444,2497,139
94,10,7,274,2736,2496,131
95,11,7,271,3005,2499,133
96,12,7,276,3273,2494,162
